episode,timestep,reward
1,46,-13598.806640625
3,92,-16891.0
5,138,-16597.0546875
7,184,-11347.09375
9,230,-21438.20703125
11,276,-29069.31640625
13,322,-16999.5
15,368,-15637.625
17,414,-23055.79296875
19,460,-8479.66796875
21,506,-14322.962890625
23,552,-14227.810546875
25,598,-7464.45947265625
27,644,-12658.9091796875
29,690,-12289.001953125
31,736,-15133.5029296875
33,782,-14698.333984375
35,828,-14785.544921875
37,874,-18978.068359375
39,920,-31975.15234375
41,966,-10912.728515625
43,1012,-18320.34375
45,1058,-43526.6484375
47,1104,-14944.9150390625
49,1150,-22778.115234375
51,1196,-8521.0146484375
53,1242,-20012.38671875
55,1288,-13200.591796875
57,1334,-28064.37109375
59,1380,-56215.875
61,1426,-31772.20703125
63,1472,-9790.3046875
65,1518,-14128.80078125
67,1564,-19890.310546875
69,1610,-36123.05078125
71,1656,-14444.3681640625
73,1702,-35655.28125
75,1748,-30621.72265625
77,1794,-26376.875
79,1840,-23586.375
81,1886,-20122.892578125
83,1932,-15774.6943359375
85,1978,-34173.83984375
87,2024,-41777.0546875
89,2070,-23881.15234375
91,2116,-44639.99609375
93,2162,-19324.97265625
95,2208,-17173.5625
97,2254,-18812.80859375
99,2300,-13371.22265625
101,2346,-12770.2734375
103,2392,-18098.61328125
105,2438,-30044.5625
107,2484,-17861.71484375
109,2530,-9301.7626953125
111,2576,-12475.19921875
113,2622,-15900.4296875
115,2668,-41551.9453125
117,2714,-15989.587890625
119,2760,-18119.2109375
121,2806,-21336.427734375
123,2852,-30232.15234375
125,2898,-11717.95703125
127,2944,-13457.04296875
129,2990,-21543.46875
131,3036,-12758.15625
133,3082,-53394.58203125
135,3128,-27198.494140625
137,3174,-16314.4892578125
139,3220,-22702.0390625
141,3266,-13641.31640625
143,3312,-16813.8828125
145,3358,-15215.189453125
147,3404,-23524.470703125
149,3450,-21974.95703125
151,3496,-17321.39453125
153,3542,-15840.0009765625
155,3588,-40538.12890625
157,3634,-38668.578125
159,3680,-38488.54296875
161,3726,-40846.78125
163,3772,-23356.30078125
165,3818,-11146.6259765625
167,3864,-32982.12890625
169,3910,-45535.421875
171,3956,-26548.8515625
173,4002,-44301.671875
175,4048,-28421.14453125
177,4094,-17946.51953125
179,4140,-20166.646484375
181,4186,-30124.357421875
183,4232,-38336.46875
185,4278,-33450.15234375
187,4324,-15833.2919921875
189,4370,-13655.158203125
191,4416,-13206.3515625
193,4462,-17142.349609375
195,4508,-49673.703125
197,4554,-23893.560546875
199,4600,-29696.5703125
201,4646,-14093.646484375
203,4692,-22711.765625
205,4738,-23713.013671875
207,4784,-22005.125
209,4830,-20979.208984375
211,4876,-20392.615234375
213,4922,-30849.14453125
215,4968,-38012.30859375
217,5014,-29613.515625
219,5060,-25561.171875
221,5106,-15997.1123046875
223,5152,-14635.7001953125
225,5198,-11506.0185546875
227,5244,-27249.01953125
229,5290,-40814.8046875
231,5336,-11029.021484375
233,5382,-19885.46875
235,5428,-55090.984375
237,5474,-15380.6337890625
239,5520,-12883.224609375
241,5566,-40414.8125
243,5612,-33528.453125
245,5658,-24369.2109375
247,5704,-53621.4609375
249,5750,-19694.29296875
251,5796,-17417.76171875
253,5842,-47187.890625
255,5888,-18931.734375
257,5934,-22761.44140625
259,5980,-36378.453125
261,6026,-35455.40625
263,6072,-40415.47265625
265,6118,-26630.537109375
267,6164,-23945.40625
269,6210,-47530.890625
271,6256,-38289.49609375
273,6302,-41379.07421875
275,6348,-31173.111328125
277,6394,-18779.623046875
279,6440,-29078.01953125
281,6486,-11495.6953125
283,6532,-17924.99609375
285,6578,-34877.6953125
287,6624,-34471.890625
289,6670,-31505.853515625
291,6716,-32833.18359375
293,6762,-15292.80078125
295,6808,-28410.58203125
297,6854,-16257.12109375
299,6900,-28450.796875
301,6946,-14860.6513671875
303,6992,-47669.51171875
305,7038,-13715.068359375
307,7084,-20332.296875
309,7130,-19822.048828125
311,7176,-16452.900390625
313,7222,-33500.4453125
315,7268,-8570.634765625
317,7314,-28749.416015625
319,7360,-18625.09765625
321,7406,-15754.52734375
323,7452,-16412.94921875
325,7498,-10727.1123046875
327,7544,-6269.13037109375
329,7590,-9622.255859375
331,7636,-26072.240234375
333,7682,-17440.34375
335,7728,-12098.2333984375
337,7774,-19690.291015625
339,7820,-27775.287109375
341,7866,-7668.986328125
343,7912,-11696.9228515625
345,7958,-27001.052734375
347,8004,-7679.234375
349,8050,-9972.6953125
351,8096,-31113.84375
353,8142,-26491.84765625
355,8188,-10057.7841796875
357,8234,-13502.6962890625
359,8280,-18586.42578125
361,8326,-40258.43359375
363,8372,-14418.826171875
365,8418,-8813.46484375
367,8464,-13227.640625
369,8510,-16434.392578125
371,8556,-14923.400390625
373,8602,-31987.908203125
375,8648,-40569.1484375
377,8694,-18804.76953125
379,8740,-13147.40234375
381,8786,-20750.48046875
383,8832,-16597.5546875
385,8878,-7344.0283203125
387,8924,-12746.044921875
389,8970,-18772.4609375
391,9016,-21429.23828125
393,9062,-11737.662109375
395,9108,-6852.06982421875
397,9154,-21149.484375
399,9200,-19998.978515625
401,9246,-25346.107421875
403,9292,-21597.8046875
405,9338,-26011.474609375
407,9384,-9666.931640625
409,9430,-21300.173828125
411,9476,-17690.7890625
413,9522,-29175.064453125
415,9568,-19799.875
417,9614,-24290.29296875
419,9660,-20187.01953125
421,9706,-9720.427734375
423,9752,-27628.72265625
425,9798,-22357.9921875
427,9844,-16145.4462890625
429,9890,-19215.2265625
431,9936,-26157.337890625
433,9982,-17306.58984375
435,10028,-17141.546875
437,10074,-43079.82421875
439,10120,-12480.87890625
441,10166,-18297.66796875
443,10212,-32081.1015625
445,10258,-39556.0
447,10304,-26511.24609375
449,10350,-10553.875
451,10396,-39744.9453125
453,10442,-13455.8486328125
455,10488,-12803.177734375
457,10534,-11382.361328125
459,10580,-10930.4619140625
461,10626,-10858.4833984375
463,10672,-6983.05126953125
465,10718,-14194.517578125
467,10764,-7627.748046875
469,10810,-7290.8974609375
471,10856,-10285.58984375
473,10902,-11898.79296875
475,10948,-15911.85546875
477,10994,-12529.73828125
479,11040,-33727.95703125
481,11086,-14026.0673828125
483,11132,-21603.486328125
485,11178,-6800.8935546875
487,11224,-12822.916015625
489,11270,-17152.15234375
491,11316,-24139.484375
493,11362,-12740.0224609375
495,11408,-11483.3095703125
497,11454,-18963.466796875
499,11500,-10391.34375
501,11546,-8599.572265625
503,11592,-25473.677734375
505,11638,-8488.84765625
507,11684,-47891.5234375
509,11730,-15700.541015625
511,11776,-6289.33251953125
513,11822,-20816.42578125
515,11868,-11120.9462890625
517,11914,-14799.9404296875
519,11960,-5455.47412109375
521,12006,-7415.091796875
523,12052,-13428.271484375
525,12098,-20544.828125
527,12144,-15986.400390625
529,12190,-5117.1943359375
531,12236,-15361.6708984375
533,12282,-7828.0380859375
535,12328,-10347.1806640625
537,12374,-9884.1376953125
539,12420,-13221.5771484375
541,12466,-18297.181640625
543,12512,-5655.05029296875
545,12558,-12720.794921875
547,12604,-6770.90673828125
549,12650,-14261.275390625
551,12696,-25657.50390625
553,12742,-9372.30078125
555,12788,-7526.7763671875
557,12834,-10857.943359375
559,12880,-13271.94140625
561,12926,-4109.3076171875
563,12972,-15617.412109375
565,13018,-7893.5546875
567,13064,-25405.5078125
569,13110,-23797.640625
571,13156,-8559.810546875
573,13202,-11876.810546875
575,13248,-15411.8447265625
577,13294,-14105.7880859375
579,13340,-17071.72265625
581,13386,-17217.7734375
583,13432,-39011.08984375
585,13478,-8917.4619140625
587,13524,-11329.27734375
589,13570,-9839.4814453125
591,13616,-16414.44921875
593,13662,-10639.15625
595,13708,-14725.6416015625
597,13754,-16939.265625
599,13800,-19958.8046875
601,13846,-47158.515625
603,13892,-17557.423828125
605,13938,-16976.37890625
607,13984,-12870.5263671875
609,14030,-18279.484375
611,14076,-17916.232421875
613,14122,-17710.873046875
615,14168,-9140.5322265625
617,14214,-7895.21826171875
619,14260,-26938.375
621,14306,-12137.228515625
623,14352,-13727.8427734375
625,14398,-7748.06689453125
627,14444,-10724.9345703125
629,14490,-18922.16015625
631,14536,-11675.07421875
633,14582,-10853.25
635,14628,-7562.857421875
637,14674,-8526.4296875
639,14720,-4581.9697265625
641,14766,-4411.919921875
643,14812,-24470.51171875
645,14858,-11000.8330078125
647,14904,-7813.8408203125
649,14950,-6015.5302734375
